Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2020-09-01 00:00:00,10.0,11802.0,5.61,1,yes
2020-09-02 00:00:00,11.0,6042.0,2.83,2,yes
2020-09-03 00:00:00,6.0,5192.0,2.48,3,yes
2020-09-04 00:00:00,10.0,8131.0,4.13,4,yes
2020-09-05 00:00:00,15.0,6941.0,3.13,5,yes
2020-09-06 00:00:00,9.0,3684.0,1.71,6,yes
2020-09-07 00:00:00,9.0,7888.0,4.36,0,yes
2020-09-08 00:00:00,11.0,6684.0,3.14,1,yes
2020-09-09 00:00:00,14.0,3829.0,1.9,2,yes
2020-09-10 00:00:00,14.0,8149.0,4.02,3,yes
2020-09-11 00:00:00,14.0,7042.0,3.22,4,yes
2020-09-12 00:00:00,10.0,7560.0,3.33,5,yes
2020-09-13 00:00:00,10.0,4094.0,1.84,6,yes
2020-09-14 00:00:00,11.0,4417.0,1.99,0,yes
2020-09-15 00:00:00,9.0,3566.0,1.58,1,yes
2020-09-16 00:00:00,6.0,5951.0,2.86,2,yes
2020-09-17 00:00:00,7.0,2131.0,0.973,3,yes
2020-09-18 00:00:00,7.0,4214.0,1.81,4,yes
2020-09-19 00:00:00,3.0,2287.0,1.02,5,yes
2020-09-20 00:00:00,8.0,4322.0,1.95,6,yes
2020-09-21 00:00:00,14.0,6932.0,3.25,0,yes
2020-09-22 00:00:00,7.0,3534.0,1.51,1,yes
2020-09-23 00:00:00,7.0,3845.0,1.68,2,yes
2020-09-24 00:00:00,15.0,6696.0,3.01,3,yes
2020-09-25 00:00:00,15.0,7464.0,3.37,4,yes
2020-09-26 00:00:00,25.0,10034.0,5.35,5,yes
2020-09-27 00:00:00,12.0,5100.0,2.29,6,yes
2020-09-28 00:00:00,13.0,7003.0,4.23,0,yes
2020-09-29 00:00:00,14.0,7307.0,3.5,1,yes
2020-09-30 00:00:00,12.0,9125.0,5.16,2,yes
2020-10-01 00:00:00,13.0,5728.0,2.69,3,yes
2020-10-02 00:00:00,12.0,8085.0,4.69,4,yes
2020-10-03 00:00:00,10.0,4761.0,2.26,5,yes
2020-10-04 00:00:00,5.0,3360.0,1.58,6,yes
2020-10-05 00:00:00,13.0,3580.0,1.77,0,yes
2020-10-06 00:00:00,10.0,4853.0,2.26,1,yes
2020-10-07 00:00:00,13.0,6437.0,3.26,2,yes
2020-10-08 00:00:00,8.0,4394.0,2.1,3,yes
2020-10-09 00:00:00,12.0,4664.0,2.21,4,yes
2020-10-10 00:00:00,10.0,4474.0,2.03,5,yes
2020-10-11 00:00:00,9.0,3821.0,1.77,6,yes
2020-10-12 00:00:00,7.0,3459.0,1.67,0,yes
2020-10-13 00:00:00,19.0,7094.0,3.5,1,yes
2020-10-14 00:00:00,7.0,2842.0,1.36,2,yes
2020-10-15 00:00:00,10.0,4578.0,2.14,3,yes
2020-10-16 00:00:00,11.0,5480.0,2.65,4,yes
2020-10-17 00:00:00,8.0,3141.0,1.54,5,yes
2020-10-18 00:00:00,12.0,5962.0,2.7,6,yes
2020-10-19 00:00:00,5.0,2138.0,1.05,0,yes
2020-10-20 00:00:00,10.0,6399.0,3.03,1,yes
2020-10-21 00:00:00,8.0,6922.0,3.22,2,yes
2020-10-22 00:00:00,13.0,4736.0,2.25,3,yes
2020-10-23 00:00:00,3.0,1956.0,0.886,4,yes
2020-10-24 00:00:00,9.0,6172.0,2.61,5,yes
2020-10-25 00:00:00,10.0,2953.0,1.29,6,yes
2020-10-26 00:00:00,10.0,2344.0,1.11,0,yes
2020-10-27 00:00:00,11.0,5365.0,2.53,1,yes
2020-10-28 00:00:00,7.0,3672.0,1.92,2,yes
2020-10-29 00:00:00,12.0,4916.0,2.36,3,yes
2020-10-30 00:00:00,19.0,10388.0,4.75,4,yes
2020-10-31 00:00:00,20.0,6902.0,3.26,5,yes
2020-11-01 00:00:00,6.0,2486.0,1.09,6,yes
2020-11-02 00:00:00,7.0,1550.0,0.76,0,yes
2020-11-03 00:00:00,6.0,1258.0,0.572,1,yes
